class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
CV,1916,53269,424,True,17.2737,17.3589,17.342,17.494,17.2049,17.1256,17.1589,17.1026,17.0394,16.8783,16.8213,16.9446,16.9629,16.9088,16.7886,16.7397,16.6759,16.6209,16.5748,16.5018,16.4711,16.4459,16.4255,16.4093,16.3699,16.332,16.1064,16.0582,16.223,16.2254,16.2035,16.1646,16.1509,16.1472,16.1023,16.0874,16.0618,16.0298,16.0064,15.9848,15.9926,15.9773,15.9574,15.9307,15.9274,15.9068,15.8799,15.8895,15.885,15.8483,15.8476,15.8479,15.8121
CV,635,52145,387,True,17.5318,17.6467,17.6285,17.8215,17.4566,17.3513,17.3879,17.3446,17.2947,17.0758,17.004,17.1792,17.2077,17.131,17.004,16.9531,16.8892,16.8371,16.7799,16.684,16.6531,16.6438,16.6164,16.5997,16.5483,16.4991,16.2349,16.1847,16.3807,16.3957,16.3668,16.3145,16.2958,16.2848,16.2472,16.2232,16.1893,16.1634,16.1344,16.11,16.1092,16.09,16.0781,16.0421,16.0398,16.0194,15.9717,15.9718,15.9497,15.9389,15.9506,15.9508,15.9145
CV,1468,52999,163,True,17.6002,17.7148,17.7002,17.928,17.6191,17.537,17.6994,17.6501,17.4935,17.3951,17.335,17.5406,17.5585,17.5407,17.4672,17.3929,17.3732,17.3408,17.2997,17.1826,17.1654,17.2079,17.1851,17.1731,17.1389,17.1084,16.8298,16.7733,16.9853,17.0277,17.0019,16.9441,16.9186,16.9345,16.9135,16.9158,16.8973,16.8783,16.8618,16.8489,16.8478,16.8279,16.8039,16.7773,16.7757,16.7763,16.767,16.754,16.7361,16.7262,16.7704,16.7634,16.7547
CV,439,51877,582,True,19.8255,19.6789,19.517,19.5924,19.3274,19.14,19.0045,18.8815,18.8337,18.6891,18.6397,18.7733,18.8328,18.7273,18.4842,18.4169,18.3399,18.2731,18.1723,18.095,18.0893,18.0207,18.0004,18.0089,17.9516,17.8799,17.7028,17.6649,17.7726,17.7856,17.727,17.6468,17.6551,17.6429,17.5471,17.4809,17.4289,17.4016,17.4303,17.4059,17.3825,17.3287,17.2727,17.2581,17.2465,17.2542,17.2151,17.1992,17.1841,17.1608,17.1527,17.1259,17.0471
CV,3686,55268,46,True,18.4175,18.5666,18.513,18.7694,18.3293,18.2237,18.3064,18.2852,18.2294,17.9253,17.8574,18.1277,18.1691,18.083,17.9447,17.8897,17.83,17.7782,17.709,17.6041,17.5823,17.578,17.5556,17.5519,17.4889,17.4352,17.1335,17.0854,17.3368,17.371,17.3339,17.2577,17.2576,17.2522,17.1813,17.1466,17.1096,17.0992,17.1034,17.0755,17.0554,17.0312,16.9964,16.9848,16.9741,16.9608,16.9337,16.9309,16.9276,16.921,16.9271,16.9033,16.8551
CV,2530,53881,327,True,18.5137,18.5422,18.4727,18.6124,18.2826,18.2034,18.2591,18.2168,18.1635,17.9472,17.8818,18.079,18.0909,18.0155,17.9141,17.8777,17.8378,17.79,17.7385,17.6576,17.6278,17.6278,17.6177,17.6017,17.5638,17.5249,17.2635,17.2054,17.4134,17.4383,17.4133,17.3581,17.3417,17.3434,17.3054,17.2718,17.2523,17.248,17.2318,17.2234,17.2102,17.1835,17.1534,17.153,17.1586,17.1563,17.1077,17.1185,17.1395,17.0876,17.091,17.0725,17.0227
CV,5340,56011,358,True,18.0541,17.9129,17.8327,17.7814,17.7865,17.7357,17.6781,17.6424,17.6135,17.619,17.5987,17.5497,17.5282,17.5121,17.4815,17.4589,17.4296,17.4074,17.3833,17.3634,17.3494,17.3321,17.3251,17.3127,17.3063,17.2942,17.3107,17.2956,17.2595,17.2484,17.2386,17.2355,17.2212,17.2132,17.203,17.1965,17.193,17.1846,17.1788,17.1717,17.1659,17.1624,17.1585,17.1527,17.1515,17.137,17.148,17.1566,17.1463,17.1298,17.1222,17.1309,17.0541
CV,1849,53846,74,True,17.1176,17.2683,17.2998,17.6482,17.2576,17.1683,17.3467,17.4011,17.337,16.9845,16.8859,17.1729,17.2219,17.2162,17.1332,17.0981,17.063,17.0358,16.9612,16.7833,16.7549,16.8558,16.824,16.8456,16.74,16.6534,16.1623,16.0744,16.5206,16.627,16.5478,16.3803,16.404,16.4251,16.2875,16.2247,16.175,16.1804,16.2085,16.1595,16.1174,16.066,16.0097,15.9805,15.9716,15.9631,15.9034,15.8936,15.8826,15.8708,15.8971,15.8702,15.8551
CV,2594,54177,26,True,15.2226,15.2236,15.2371,15.2799,15.2912,15.3193,15.3552,15.3262,15.3064,15.3594,15.3723,15.4207,15.4367,15.4511,15.4506,15.4606,15.4736,15.4787,15.4879,15.5,15.5081,15.4903,15.4937,15.5055,15.5013,15.4998,15.4032,15.3964,15.5157,15.5359,15.5352,15.5317,15.5439,15.5419,15.5339,15.5434,15.5391,15.5408,15.5555,15.5572,15.5552,15.5588,15.5604,15.5589,15.5757,15.5854,15.5841,15.594,15.6022,15.5964,15.6135,15.6195,15.5474
CV,2076,53442,501,True,19.8138,19.5424,19.3137,19.2871,19.0834,18.9531,18.8419,18.7432,18.6953,18.5979,18.5758,18.6231,18.6535,18.6196,18.4382,18.3857,18.3109,18.2694,18.2083,18.1521,18.1531,18.0939,18.0859,18.0786,18.0384,18.0046,17.8989,17.8534,17.9103,17.9123,17.891,17.8504,17.8388,17.8386,17.8157,17.7936,17.7725,17.7542,17.7433,17.7319,17.7148,17.6943,17.6899,17.6821,17.6728,17.6678,17.6518,17.6544,17.6502,17.6948,17.6529,17.6091,17.5404
