class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
OBA,282,51658,285,True,22.5475,22.6112,22.5518,22.5807,22.5212,22.7153,22.8906,22.8444,23.0181,22.8725,22.9354,22.9438,22.8764,22.7125,22.7957,22.7098,22.8617,22.8435,22.8837,22.6429,22.2866,22.6331,22.7659,22.565,22.933,23.0085,22.8437,23.0541,23.2559,23.312,23.437,23.0431,22.9859,22.6446,22.9239,22.9328,22.8925,22.5255,22.2902,22.1258,22.3008,22.6454,22.1167,22.1805,23.0388,22.4347,21.3311,21.1768,21.3354,21.1042,20.9724,20.9715,21.1919
OBA,292,51609,141,True,19.1768,19.0062,18.9897,18.8688,18.9455,18.9428,18.8509,18.831,18.828,18.9033,18.9082,18.8273,18.8208,18.8425,18.8231,18.8131,18.7995,18.7928,18.7926,18.8035,18.7999,18.801,18.7947,18.7953,18.8239,18.8286,18.8663,18.9023,18.8255,18.8349,18.8246,18.8192,18.8303,18.8494,18.84,18.84,18.8401,18.824,18.8298,18.8093,18.7948,18.8263,18.8589,18.8877,18.8839,18.8727,18.8588,18.8716,18.8767,18.7787,18.7758,18.7756,18.7908
OBA,293,51689,225,True,18.7169,18.4932,18.475,18.3239,18.4545,18.4387,18.3529,18.3638,18.3617,18.496,18.5206,18.3955,18.3862,18.4062,18.4097,18.4361,18.4444,18.4451,18.452,18.4623,18.4516,18.4723,18.4893,18.4861,18.5006,18.5072,18.5942,18.6191,18.5358,18.5429,18.5565,18.5618,18.5676,18.5867,18.5731,18.5836,18.591,18.6079,18.6275,18.6387,18.6488,18.6495,18.67,18.684,18.6862,18.6658,18.6872,18.684,18.6477,18.5969,18.6529,18.7182,18.5978
OBA,297,51959,17,True,22.281,22.4528,22.6881,22.8814,22.7946,22.7721,22.9041,22.9131,22.9406,23.13,23.1437,22.9593,22.9677,22.8095,22.8353,22.818,22.6252,22.1318,22.879,22.9207,22.6207,22.8642,23.1366,23.2996,23.0996,22.963,22.9187,22.8131,22.92,22.9642,22.7688,22.6714,22.6475,22.8159,22.8033,22.6974,22.6829,22.3145,22.6909,22.618,22.346,21.9703,22.1928,22.239,21.8343,22.0323,21.7299,21.5593,21.4882,21.3717,21.3885,21.0476,21.1541
OBA,298,51955,392,True,19.5743,19.4585,19.3717,19.3393,19.3464,19.309,19.2457,19.2125,19.1827,19.1887,19.1739,19.1211,19.0792,19.0624,19.048,19.0446,19.0468,19.029,18.9899,18.9813,19.0066,19.0003,18.9646,18.9403,18.9304,18.8927,18.9548,18.9739,18.8822,18.8653,18.8637,18.881,18.8437,18.8527,18.8797,18.8494,18.8225,18.8408,18.8377,18.8367,18.8392,18.8661,18.8742,18.8298,18.7914,18.9216,18.9165,18.8884,18.8947,18.8731,18.987,19.0491,19.0655
OBA,299,51671,326,True,16.5235,16.3294,16.2882,16.1828,16.2344,16.1828,16.1063,16.088,16.0738,16.1327,16.125,16.0506,16.0375,16.0328,16.016,16.0086,16.0014,15.9955,15.9929,15.9898,15.9982,16.0044,16.0108,16.0132,16.0082,16.0022,16.0491,16.0559,15.9955,15.995,15.996,15.9947,15.9963,16.0024,16.0011,16.0138,16.0135,16.0118,16.025,16.0332,16.0431,16.0374,16.0473,16.0567,16.0754,16.0798,16.0802,16.1004,16.1323,16.1336,16.1392,16.1633,16.0706
OBA,300,51943,471,True,22.1893,22.6444,22.8939,22.7901,22.7016,22.615,22.8776,22.8631,22.8273,22.824,22.9419,22.7915,22.8726,22.6991,22.8401,22.8361,22.8379,22.9433,22.6994,22.7591,22.5955,22.5142,22.9306,22.6114,22.5194,22.8581,22.8971,22.6538,23.1191,23.4687,22.7269,22.925,22.65,22.7177,22.3041,22.1489,22.2945,22.0957,21.6695,21.6008,21.7143,21.9295,22.2363,22.0396,21.4229,21.5116,21.595,22.4449,21.6613,20.8799,20.9899,21.4672,21.5688
OBA,301,51942,617,True,19.5808,19.401,19.317,19.2328,19.2515,19.2038,19.1233,19.0811,19.0835,19.0888,19.0543,19.0093,18.9932,18.9737,18.9487,18.9312,18.911,18.8847,18.8671,18.8561,18.818,18.8105,18.8136,18.8186,18.8284,18.8022,18.8407,18.8266,18.779,18.7926,18.7666,18.763,18.7654,18.7537,18.7708,18.768,18.7347,18.7686,18.7732,18.8006,18.8361,18.7043,18.7358,18.7673,18.7696,18.7217,18.6927,18.702,18.7187,18.7915,18.7319,18.675,18.5532
OBA,312,51689,81,True,17.8947,17.6751,17.595,17.4927,17.5231,17.4669,17.3795,17.3353,17.3003,17.3626,17.3658,17.2861,17.2708,17.2696,17.2535,17.2475,17.2242,17.214,17.1958,17.1847,17.1872,17.1736,17.1712,17.169,17.1722,17.165,17.2209,17.2249,17.1608,17.1544,17.1579,17.1569,17.1558,17.1611,17.163,17.1664,17.162,17.1723,17.1745,17.1721,17.1817,17.1684,17.1716,17.1772,17.1903,17.1785,17.1976,17.2068,17.1979,17.1785,17.1686,17.1752,17.0997
OBA,315,51663,163,True,19.5547,19.3664,19.2985,19.2028,19.2681,19.2043,19.1138,19.0693,19.0433,19.1138,19.1135,19.0055,18.9783,18.9643,18.936,18.9317,18.9065,18.9093,18.8942,18.8561,18.8741,18.8711,18.8518,18.8458,18.8303,18.8411,18.9107,18.9143,18.8518,18.8418,18.8368,18.8466,18.83,18.8383,18.8397,18.833,18.8497,18.8276,18.8097,18.8081,18.7837,18.8037,18.8319,18.8463,18.8918,18.9187,18.855,18.8165,18.9374,18.9858,18.8525,18.7821,18.6655
