class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
QSO,7875,56980,606,True,21.3691,21.3751,21.462,21.5067,21.4284,21.4841,21.3734,21.2164,21.1109,21.3804,21.4333,21.4262,21.3784,21.3785,21.4119,21.3788,21.3157,21.2022,21.1923,21.1975,21.1061,21.0987,21.1219,21.1202,21.1583,21.0995,21.0938,21.0124,20.8946,20.6715,20.6531,20.8839,20.9662,20.8676,20.9595,21.0918,21.0067,20.9301,20.9115,21.0045,20.9568,20.8941,20.7708,20.8202,20.8355,20.6613,20.6942,20.8973,21.0225,21.1866,21.203,21.0237,20.7095
QSO,6711,56388,716,True,21.4349,20.8086,21.0948,21.4145,21.3418,21.3552,21.2167,21.1406,21.2736,21.2916,21.2714,20.9537,20.8129,21.0669,21.0358,20.9809,21.0032,20.9592,20.949,21.0033,20.9739,20.8893,20.8183,20.7179,20.7689,20.9858,20.9426,20.9649,20.9301,20.8829,20.8482,20.8788,20.9506,21.0103,20.9249,20.9081,20.8511,20.857,20.7404,20.6351,20.6746,20.6653,20.7308,20.7339,20.5944,20.5771,20.6254,20.7502,20.7324,20.6278,20.6116,20.4724,20.2912
QSO,7853,56988,898,True,20.2641,20.3072,20.2845,20.0315,19.9779,20.2284,20.2822,20.2388,20.201,20.206,20.218,20.1855,20.1353,20.0638,20.0536,19.9982,19.9329,19.9079,19.9047,19.9073,19.9033,19.9114,19.8244,19.4883,19.4143,19.7397,19.8513,19.8416,19.8751,19.9002,19.8538,19.7883,19.74,19.7253,19.7316,19.7478,19.7603,19.7166,19.7246,19.7204,19.7262,19.7406,19.7295,19.7205,19.7051,19.7274,19.7775,19.7675,19.7235,19.7088,19.678,19.7732,19.6773
QSO,7764,58042,69,True,20.2947,20.4928,20.4687,20.4521,20.3915,20.2107,20.0593,20.3029,20.2603,20.2098,20.1281,20.127,20.105,20.0565,19.9635,19.8599,19.788,19.7477,19.6796,19.6261,19.5715,19.5702,19.571,19.584,19.5817,19.4715,19.2945,19.1678,19.3702,19.4446,19.3776,19.3541,19.3974,19.3615,19.2959,19.2506,19.2318,19.2186,19.2143,19.2055,19.1551,19.1204,19.0825,19.1077,19.1559,19.1349,19.0899,19.1043,19.0452,19.0406,19.1647,19.1527,18.9474
QSO,8213,58487,292,True,21.3687,21.375,21.4003,21.4258,21.3009,21.4657,21.4917,21.4966,21.5057,21.4856,21.4522,21.4508,21.458,21.4565,21.4555,21.484,21.4511,21.3934,21.3959,21.2754,21.151,21.1508,21.1759,21.1584,21.1066,21.1234,21.0245,21.0404,21.0358,20.9858,20.8966,20.881,20.8538,20.8286,20.809,20.7391,20.6469,20.8266,20.7066,20.6928,20.6884,20.7293,20.6406,20.5454,20.6202,20.5754,20.5459,20.4083,20.3983,20.6353,20.5753,20.4083,20.2794
QSO,3859,55246,356,True,20.5733,20.5899,20.6819,20.6572,20.6075,20.5659,20.4619,20.309,20.371,20.4239,20.4034,20.3516,20.3119,20.2882,20.266,20.2311,20.1625,20.1174,19.9897,19.926,19.8283,19.7533,19.723,19.7233,19.7283,19.6909,19.6376,19.5361,19.463,19.3993,19.4436,19.4798,19.4534,19.4361,19.4748,19.464,19.4126,19.3574,19.305,19.2964,19.3188,19.2798,19.2742,19.2584,19.2194,19.2164,19.2158,19.2031,19.2234,19.2419,19.2281,19.2103,19.1431
QSO,5069,56211,966,True,20.6541,20.6395,20.5479,20.0905,19.4282,19.696,20.1788,20.2609,20.2449,20.2585,20.1081,20.105,20.2632,20.2687,20.1745,19.8071,19.581,19.8806,20.0251,20.0319,20.0499,20.1022,20.0279,20.0132,20.0057,20.0244,19.9344,19.788,19.6122,19.6751,19.8636,19.9272,19.9654,19.9685,19.9034,19.8595,19.869,19.9362,19.8788,19.953,19.965,19.9545,19.8444,19.7522,19.7769,19.7962,19.7562,19.707,19.5955,19.666,19.6212,19.6063,19.5649
QSO,1951,53389,580,True,19.5223,19.5247,19.4755,19.0672,18.9585,19.3156,19.3743,19.4828,19.4643,19.3004,19.283,19.3293,19.3017,19.2727,19.2886,19.343,19.3824,19.3658,19.249,19.2862,19.2159,19.2426,19.2063,19.1672,19.1592,19.1402,19.1239,19.0127,18.9792,18.9744,18.8933,18.8956,18.9238,18.9518,18.8603,18.5921,18.6284,18.5764,18.7429,18.8051,18.8026,18.7853,18.785,18.8262,18.7747,18.7838,18.808,18.7558,18.5328,18.5354,18.5456,18.5524,18.6275
QSO,7707,57663,888,True,21.8505,21.7901,21.5861,21.6972,21.8203,21.7645,21.6646,21.6537,21.6986,21.751,21.6802,21.5327,21.4656,21.3993,21.3661,21.3105,21.3134,21.3067,21.261,21.2955,21.1834,20.9156,20.9193,21.1164,21.1761,21.0991,21.0727,21.079,21.0668,21.0381,20.9802,20.9579,20.9485,20.9488,20.9934,20.928,20.905,20.9908,20.9493,20.9717,20.9288,20.9563,20.9045,20.9429,20.967,21.0708,21.0618,20.9726,20.8293,20.7897,20.9353,21.0048,20.8905
QSO,11123,58429,415,True,20.0229,20.1076,20.1879,20.1694,20.1893,20.1962,20.0596,20.0594,20.1355,20.1453,20.1378,20.1162,20.1011,20.1031,20.0881,20.057,20.012,20.0035,19.9469,19.923,19.8546,19.8862,19.9011,19.8728,19.8546,19.8554,19.799,19.6639,19.5845,19.665,19.7016,19.7109,19.6872,19.7151,19.7174,19.6604,19.6389,19.5985,19.6062,19.6187,19.595,19.5729,19.5418,19.5149,19.5136,19.5316,19.544,19.4966,19.5344,19.4734,19.4724,19.4898,19.4463
