class,plate,mjd,fiber,good,J0390,J0400,J0410,J0420,J0430,J0440,J0450,J0460,J0470,J0480,J0490,J0500,J0510,J0520,J0530,J0540,J0550,J0560,J0570,J0580,J0590,J0600,J0610,J0620,J0630,J0640,J0650,J0660,J0670,J0680,J0690,J0700,J0710,J0720,J0730,J0740,J0750,J0760,J0770,J0780,J0790,J0800,J0810,J0820,J0830,J0840,J0850,J0860,J0870,J0880,J0890,J0900,J0910
WDMS,1837,53494,283,True,18.2908,18.3124,18.3376,18.2826,18.3667,18.3749,18.3503,18.3826,18.4105,18.4897,18.5145,18.4921,18.5067,18.5216,18.55,18.5789,18.6128,18.6244,18.6369,18.6628,18.6468,18.69,18.7038,18.7068,18.7321,18.7527,18.7157,18.7333,18.8054,18.821,18.827,18.823,18.863,18.8589,18.8596,18.8582,18.8604,18.8806,18.8982,18.8648,18.8752,18.883,18.8861,18.8936,18.9478,18.9556,18.8718,18.8695,18.911,18.9168,18.9488,18.9327,18.9326
WDMS,2951,54592,65,True,18.4685,18.4674,18.5016,18.4695,18.5463,18.5617,18.5279,18.5384,18.5524,18.623,18.661,18.6268,18.6379,18.6402,18.6703,18.694,18.7094,18.7247,18.7667,18.7747,18.7984,18.8307,18.8421,18.8474,18.8434,18.862,18.8344,18.8616,18.9042,18.9196,18.9361,18.9257,18.9205,18.9221,18.8939,18.9136,18.9234,18.9209,18.9407,18.9252,18.9276,18.9096,18.9116,18.8949,18.9072,18.8348,18.8158,18.8298,18.8995,18.8599,18.8429,18.8199,18.7523
WDMS,4808,55705,420,True,18.3289,18.3518,18.3742,18.3334,18.4185,18.4149,18.3825,18.4054,18.4238,18.4925,18.513,18.4701,18.474,18.4765,18.4944,18.4999,18.5107,18.5334,18.5456,18.5503,18.5498,18.5664,18.5696,18.5743,18.5997,18.607,18.534,18.5451,18.6219,18.628,18.6379,18.6359,18.6391,18.6358,18.6173,18.6008,18.5914,18.6024,18.6449,18.6331,18.6225,18.5991,18.5773,18.556,18.5488,18.5526,18.5644,18.5939,18.5982,18.5619,18.5607,18.5485,18.45
WDMS,6694,56386,5,True,21.6366,21.4449,21.4654,21.3137,21.5698,21.4785,21.2617,21.245,21.2822,21.5626,21.559,21.3093,21.2888,21.3445,21.28,21.3177,21.2402,21.1244,21.2924,21.3149,21.2777,21.3822,21.4424,21.4089,20.7968,21.3482,21.5057,21.5962,21.5517,21.394,21.3387,21.22,21.3214,21.1819,20.9477,20.7336,20.601,20.7535,21.0003,20.6717,20.8031,20.6069,20.4338,20.4724,20.1325,20.1375,20.5562,20.4199,20.2512,19.8372,19.8113,19.9267,20.0913
WDMS,4052,55600,746,True,18.8547,18.8358,18.8644,18.8045,18.9386,18.9442,18.8944,18.9141,18.949,19.0718,19.1108,19.046,19.0753,19.1013,19.1159,19.1317,19.1525,19.182,19.1994,19.2114,19.2662,19.2733,19.2906,19.3548,19.357,19.3312,19.3918,19.4222,19.4236,19.4504,19.4141,19.3774,19.4167,19.4111,19.3209,19.3025,19.2819,19.2805,19.4005,19.3871,19.3403,19.2554,19.2274,19.1904,19.2504,19.3883,19.3297,19.2784,19.2644,19.2504,19.3814,19.3561,19.1288
WDMS,4052,55589,744,True,18.9634,18.9535,18.9835,18.9219,19.0415,19.0471,19.0032,19.0375,19.0654,19.1949,19.2339,19.1666,19.1927,19.2143,19.2255,19.2495,19.2796,19.2947,19.3267,19.3574,19.4002,19.4022,19.434,19.4784,19.4779,19.4673,19.5006,19.5331,19.5508,19.5819,19.5629,19.5117,19.5718,19.5456,19.4799,19.4438,19.4085,19.4355,19.5141,19.5018,19.4691,19.4354,19.3773,19.3817,19.427,19.465,19.4503,19.4393,19.4335,19.4242,19.3867,19.3986,19.2941
WDMS,915,52443,312,True,19.074,19.1206,18.9959,18.6474,18.5708,18.8954,18.9026,18.8878,18.9329,18.9028,18.8868,18.8998,18.8407,18.6339,18.6317,18.8089,18.8123,18.8294,18.7765,18.8186,18.8552,18.8541,18.8631,18.8471,18.7445,18.7142,18.7044,18.6767,18.6227,18.6208,18.6064,18.5991,18.6166,18.5987,18.6185,18.5882,18.5669,18.4495,18.2207,18.3564,18.4957,18.5485,18.5124,18.522,18.6445,18.6829,18.6124,18.5683,18.5725,18.5291,18.5796,18.612,18.5219
WDMS,4736,55631,148,True,20.9251,20.7875,20.7691,20.5157,20.7224,20.6597,20.4433,20.4352,20.4625,20.7311,20.7969,20.5223,20.4862,20.4784,20.4635,20.4826,20.5196,20.4929,20.5174,20.5241,20.5735,20.5775,20.5858,20.6495,20.7074,20.6424,20.7198,20.7798,20.6784,20.6569,20.6341,20.5569,20.6619,20.6674,20.5065,20.3543,20.2445,20.2819,20.4748,20.4647,20.3524,20.1413,20.0427,20.0216,20.0216,20.1072,20.1814,20.0402,19.9114,19.7721,19.8425,19.8433,19.6821
WDMS,2919,54537,609,True,18.7933,18.6485,18.6285,18.3963,18.6222,18.5223,18.3127,18.2984,18.3233,18.5818,18.5944,18.3937,18.3784,18.3769,18.3244,18.3018,18.331,18.3329,18.2875,18.2932,18.3983,18.31,18.2844,18.4038,18.3083,18.1802,18.107,18.1302,18.2112,18.2474,18.1317,17.9305,18.0259,17.951,17.6655,17.5251,17.457,17.4861,17.6102,17.5319,17.4348,17.3307,17.2474,17.2362,17.2013,17.2379,17.2543,17.2061,17.156,17.0785,17.0729,17.0533,16.9858
WDMS,1830,54560,172,True,19.2982,19.3,19.2687,19.1805,19.1337,19.068,19.0388,19.0081,19.005,19.0043,19.011,18.87,18.6475,18.7287,18.8785,18.8839,18.9197,18.9958,18.9331,18.8288,18.8219,18.8453,18.9277,18.9293,18.9069,18.9547,18.9912,18.9777,19.026,19.0242,19.0206,19.0351,19.0429,19.084,19.1505,19.1625,19.1324,19.1136,19.1267,19.037,18.9353,18.922,19.0035,18.9212,18.7813,18.804,18.9561,19.0904,19.0484,18.8076,18.5606,18.667,18.6959
